id,image_path,mask_path,empty,segmentation,n,p,k,fold
0,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_0.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_0.jpg,FALSE,", ,",1,1,0,0
1,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_1.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_1.jpg,FALSE,", ,",1,2,0,0
2,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_2.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_2.jpg,FALSE,", ,",2,1,0,0
3,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_3.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_3.jpg,FALSE,", ,",1,2,0,0
4,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_4.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_4.jpg,FALSE,", ,",2,0,0,1
5,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_5.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_5.jpg,FALSE,", ,",2,1,0,1
7,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_7.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_7.jpg,FALSE,", ,",1,0,0,1
8,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_8.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_8.jpg,FALSE,", ,",0,0,0,1
9,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_9.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_9.jpg,FALSE,", ,",1,2,0,1
10,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_10.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_10.jpg,FALSE,", ,",2,0,0,1
